m_reaction,m_gene_reaction_rule,m_metabolites,m_subsystem,m_gene,seq_uniprot,seq_kegg,seq_mapped_pdbs,seq_domains,seq_file,struct_id,struct_is_experimental,struct_percent_seq_cov,struct_pdb,struct_resolution,struct_chemicals,struct_domains,struct_homology_template,struct_file
ALLTAMH2,b0516,alltt_c;h2o_c;urdgci_c;h_c;co2_c;nh4_c,Nitrogen Metabolism,b0516,P77425,ecj:JW0504;eco:b0516,1Z2L;2IMO;4PXD,PDP:4PXDAa;PDP:4PXDAb,P77425.fasta,REP-4pxd,True,0.9975669099756691,4pxd,2.2,1AL;MN,PDP:4PXDAa;PDP:4PXDAb,,4pxd-A_clean.pdb
ALLTN,b0512,alltt_c;h2o_c;h_c;alltn_c,Nitrogen Metabolism,b0512,P77671,ecj:JW0500;eco:b0512,3E74,PDP:3E74Aa;PDP:3E74Ab;PDP:3E74Ac,P77671.fasta,REP-3e74,True,0.9161147902869757,3e74,2.1,FE,PDP:3E74Aa;PDP:3E74Ab;PDP:3E74Ac,,3e74-A_clean.pdb
ALLTNt2rpp,b0511,alltn_p;h_p;alltn_c;h_c,"Transport, Inner Membrane",b0511,P75712,ecj:JW0499;eco:b0511,,,P75712.fasta,REP-ALLP_ECOLI,False,1.0,,,,,2jln,ALLP_ECOLI_model1_clean-X_clean.pdb
ALLTNtex,(b0241 or b0929 or b1377 or b2215),alltn_e;alltn_p,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
ALLTNtex,(b0241 or b0929 or b1377 or b2215),alltn_e;alltn_p,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
ALLTNtex,(b0241 or b0929 or b1377 or b2215),alltn_e;alltn_p,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
ALLTNtex,(b0241 or b0929 or b1377 or b2215),alltn_e;alltn_p,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
ALLULPE,b4085,allul6p_c;f6p_c,Alternate Carbon Metabolism,b4085,P32719,ecj:JW4046;eco:b4085,3CT7;3CTL,PDP:3CTLAa,P32719.fasta,REP-3ctl,True,0.948051948051948,3ctl,2.2,S6P;MG,PDP:3CTLAa,,3ctl-A_clean.pdb
ALLabcpp,(b4087 and b4088 and b4086),h2o_c;all__D_c;atp_c;all__D_p;h_c;adp_c;pi_c,"Transport, Inner Membrane",b4088,P39265,ecj:JW4049;eco:b4088,1GUB;1GUD;1RPJ,d1guda_,P39265.fasta,REP-1gud,True,0.9260450160771704,1gud,1.71,ZN,d1guda_,,1gud-A_clean.pdb
ALLabcpp,(b4087 and b4088 and b4086),h2o_c;all__D_c;atp_c;all__D_p;h_c;adp_c;pi_c,"Transport, Inner Membrane",b4086,P32720,ecj:JW4047;eco:b4086,,,P32720.fasta,REP-ALSC_ECOLI,False,1.0,,,,,2xwu,ALSC_ECOLI_model1_clean-X_clean.pdb
ALLabcpp,(b4087 and b4088 and b4086),h2o_c;all__D_c;atp_c;all__D_p;h_c;adp_c;pi_c,"Transport, Inner Membrane",b4087,P32721,ecj:JW4048;eco:b4087,,,P32721.fasta,REP-ALSA_ECOLI,False,1.0,,,,,3ozx,ALSA_ECOLI_model1_clean-X_clean.pdb
ALLtex,(b0929 or b0241 or b1377 or b2215),all__D_p;all__D_e,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
ALLtex,(b0929 or b0241 or b1377 or b2215),all__D_p;all__D_e,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
ALLtex,(b0929 or b0241 or b1377 or b2215),all__D_p;all__D_e,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
ALLtex,(b0929 or b0241 or b1377 or b2215),all__D_p;all__D_e,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
ALPATE160pp,(b1677 and b0657),alpp_p;lpp_p;2agpe160_p;pe160_p,Unassigned,b1677,P69776,ecj:JW1667;eco:b1677,1EQ7;1JCC;1JCD;1KFM;1KFN;1MLP;1T8Z;2GUS;2GUV,d1jcda_,P69776.fasta,REP-LPP_ECOLI,False,1.0,,,,,1eq7,LPP_ECOLI_model1_clean-X_clean.pdb
ALPATE160pp,(b1677 and b0657),alpp_p;lpp_p;2agpe160_p;pe160_p,Unassigned,b0657,P23930,ecj:JW0654;eco:b0657,5N6H;5N6L;5XHQ,,P23930.fasta,REP-5n6h,True,0.982421875,5n6h,2.9,GOL;OLC,,,5n6h-A_clean.pdb
ALPATG160pp,(b1677 and b0657),pg160_p;alpp_p;2agpg160_p;lpp_p,Unassigned,b0657,P23930,ecj:JW0654;eco:b0657,5N6H;5N6L;5XHQ,,P23930.fasta,REP-5n6h,True,0.982421875,5n6h,2.9,GOL;OLC,,,5n6h-A_clean.pdb
ALPATG160pp,(b1677 and b0657),pg160_p;alpp_p;2agpg160_p;lpp_p,Unassigned,b1677,P69776,ecj:JW1667;eco:b1677,1EQ7;1JCC;1JCD;1KFM;1KFN;1MLP;1T8Z;2GUS;2GUV,d1jcda_,P69776.fasta,REP-LPP_ECOLI,False,1.0,,,,,1eq7,LPP_ECOLI_model1_clean-X_clean.pdb
ALR2,(b3012 or b0207 or b1781 or b3001),acetol_c;nadp_c;nadph_c;h_c;mthgxl_c,Methylglyoxal Metabolism,b3001,Q46851,ecj:JW2970;eco:b3001,3N6Q;4AST;4AUB,PDP:3ERPAa,Q46851.fasta,REP-3n6q,True,0.9075144508670521,3n6q,1.8,MG,PDP:3ERPAa,,3n6q-A_clean.pdb
ALR2,(b3012 or b0207 or b1781 or b3001),acetol_c;nadp_c;nadph_c;h_c;mthgxl_c,Methylglyoxal Metabolism,b3012,Q46857,ecj:JW5499;eco:b3012,1MZR,d1us0a_,Q46857.fasta,REP-1mzr,True,0.9927536231884058,1mzr,2.13,GOL;PO4,d1us0a_,,1mzr-A_clean.pdb
ALR2,(b3012 or b0207 or b1781 or b3001),acetol_c;nadp_c;nadph_c;h_c;mthgxl_c,Methylglyoxal Metabolism,b1781,P76234,ecj:JW1770;eco:b1781,,,P76234.fasta,REP-YEAE_ECOLI,False,1.0,,,,,3f7j,YEAE_ECOLI_model1_clean-X_clean.pdb
ALR2,(b3012 or b0207 or b1781 or b3001),acetol_c;nadp_c;nadph_c;h_c;mthgxl_c,Methylglyoxal Metabolism,b0207,P30863,ecj:JW0197;eco:b0207,,,P30863.fasta,REP-DKGB_ECOLI,False,1.0,,,,,2wzm,DKGB_ECOLI_model1_clean-X_clean.pdb
ALR2x,b1771,nad_c;nadh_c;acetol_c;h_c;mthgxl_c,Methylglyoxal Metabolism,b1771,P77256,ecj:JW1760;eco:b1771,,,P77256.fasta,REP-YDJG_ECOLI,False,1.0,,,,,1pz0,YDJG_ECOLI_model1_clean-X_clean.pdb
ALR4x,b3945,nadh_c;acetol_c;h_c;nad_c;12ppd__R_c,Glycerophospholipid Metabolism,b3945,P0A9S5,ecj:JW5556;eco:b3945,5ZXL,,P0A9S5.fasta,REP-5zxl,True,1.0,5zxl,2.794,CL;GOL;ZN;SO4,,,5zxl-A_clean.pdb
ALTRH,b3091,h2o_c;2ddglcn_c;altrn_c,Alternate Carbon Metabolism,b3091,P42604,ecj:JW3062;eco:b3091,,,P42604.fasta,REP-UXAA_ECOLI,False,1.0,,,,,3k3s,UXAA_ECOLI_model1_clean-X_clean.pdb
AM3PA,b0110,anhm_c;h2o_c;LalaDgluMdap_c;anhm3p_c,Murein Recycling,b0110,P13016,ecj:JW0106;eco:b0110,,,P13016.fasta,REP-AMPD_ECOLI,False,1.0,,,,,1j3g,AMPD_ECOLI_model1_clean-X_clean.pdb
AM4PA,b0110,anhm_c;anhm4p_c;h2o_c;LalaDgluMdapDala_c,Murein Recycling,b0110,P13016,ecj:JW0106;eco:b0110,,,P13016.fasta,REP-AMPD_ECOLI,False,1.0,,,,,1j3g,AMPD_ECOLI_model1_clean-X_clean.pdb
AM4PCP,b1192,anhm4p_c;ala__D_c;h2o_c;anhm3p_c,Murein Recycling,b1192,P76008,ecj:JW1181;eco:b1192,5Z01;5Z03,,P76008.fasta,REP-5z01,True,0.9901960784313726,5z01,1.75,MG,,,5z01-A_clean.pdb
AMALT1,b3416,glc__D_c;malt_c;malttr_c;maltttr_c,Alternate Carbon Metabolism,b3416,P15977,ecj:JW3379;eco:b3416,4S3P;4S3Q;4S3R,PDP:4S3RAa;PDP:4S3RAb;PDP:4S3RAc;PDP:4S3RAd,P15977.fasta,REP-4s3q,True,0.9798270893371758,4s3q,2.1,EDO;IOD;MAL,PDP:4S3RAa;PDP:4S3RAb;PDP:4S3RAc;PDP:4S3RAd,,4s3q-A_clean.pdb
AMALT2,b3416,glc__D_c;maltpt_c;malt_c;maltttr_c,Alternate Carbon Metabolism,b3416,P15977,ecj:JW3379;eco:b3416,4S3P;4S3Q;4S3R,PDP:4S3RAa;PDP:4S3RAb;PDP:4S3RAc;PDP:4S3RAd,P15977.fasta,REP-4s3q,True,0.9798270893371758,4s3q,2.1,EDO;IOD;MAL,PDP:4S3RAa;PDP:4S3RAb;PDP:4S3RAc;PDP:4S3RAd,,4s3q-A_clean.pdb
AMALT3,b3416,glc__D_c;maltpt_c;malt_c;malthx_c,Alternate Carbon Metabolism,b3416,P15977,ecj:JW3379;eco:b3416,4S3P;4S3Q;4S3R,PDP:4S3RAa;PDP:4S3RAb;PDP:4S3RAc;PDP:4S3RAd,P15977.fasta,REP-4s3q,True,0.9798270893371758,4s3q,2.1,EDO;IOD;MAL,PDP:4S3RAa;PDP:4S3RAb;PDP:4S3RAc;PDP:4S3RAd,,4s3q-A_clean.pdb
AMALT4,b3416,glc__D_c;malthp_c;malt_c;malthx_c,Alternate Carbon Metabolism,b3416,P15977,ecj:JW3379;eco:b3416,4S3P;4S3Q;4S3R,PDP:4S3RAa;PDP:4S3RAb;PDP:4S3RAc;PDP:4S3RAd,P15977.fasta,REP-4s3q,True,0.9798270893371758,4s3q,2.1,EDO;IOD;MAL,PDP:4S3RAa;PDP:4S3RAb;PDP:4S3RAc;PDP:4S3RAd,,4s3q-A_clean.pdb
AMANAPEr,b3223,acmanap_c;acgam6p_c,Alternate Carbon Metabolism,b3223,P0A761,ecj:JW3192;eco:b3223,,,P0A761.fasta,REP-NANE_ECOLI,False,1.0,,,,,3q58,NANE_ECOLI_model1_clean-X_clean.pdb
AMANK,b3222,acmana_c;acmanap_c;h_c;adp_c;atp_c,Alternate Carbon Metabolism,b3222,P45425,ecj:JW5538;eco:b3222,2AA4,d2aa4a1;d2aa4a2,P45425.fasta,REP-2aa4,True,0.993127147766323,2aa4,2.2,ZN,d2aa4a1;d2aa4a2,,2aa4-A_clean.pdb
AMAOTr,b0774,8aonn_c;dann_c;amob_c;amet_c,Cofactor and Prosthetic Group Biosynthesis,b0774,P12995,ecj:JW0757;eco:b0774,1DTY;1MGV;1MLY;1MLZ;1QJ3;1QJ5;1S06;1S07;1S08;1S09;1S0A,PDP:4WYDAa;PDP:4WYDAb,P12995.fasta,REP-1s0a,True,0.9906759906759907,1s0a,1.71,NA,PDP:4WYDAa;PDP:4WYDAb,,1s0a-A_clean.pdb
AMMQLT8,b3833,amet_c;ahcys_c;2dmmql8_c;mql8_c;h_c,Cofactor and Prosthetic Group Biosynthesis,b3833,P0A887,ecj:JW5581;eco:b3833,,,P0A887.fasta,REP-UBIE_ECOLI,False,1.0,,,,,3dtn,UBIE_ECOLI_model1_clean-X_clean.pdb
AMPMS2,b3994,h2o_c;nad_c;4ampm_c;h_c;for_c;air_c;nadh_c,Cofactor and Prosthetic Group Biosynthesis,b3994,P30136,ecj:JW3958;eco:b3994,,,P30136.fasta,REP-THIC_ECOLI,False,1.0,,,,,3epm,THIC_ECOLI_model1_clean-X_clean.pdb
AMPN,b1982,h2o_c;ade_c;r5p_c;amp_c,Nucleotide Salvage Pathway,b1982,P0AE12,ecj:JW1963;eco:b1982,1T8R;1T8S;1T8W;1T8Y,d1t8sa_,P0AE12.fasta,REP-1t8s,True,0.9070247933884298,1t8s,2.6,FMP,d1t8sa_,,1t8s-A_clean.pdb
AMPNTAT,b4093,acampnt_c;coa_c;ampnt_c;accoa_c,Inorganic Ion Transport and Metabolism,b4093,P16691,ecj:JW4054;eco:b4093,,,P16691.fasta,REP-PHNO_ECOLI,False,1.0,,,,,1z4e,PHNO_ECOLI_model1_clean-X_clean.pdb
AMPTASECG,(b0932 or b4260 or b2523 or b0237),cys__L_c;h2o_c;gly_c;cgly_c,Cysteine Metabolism,b2523,P37095,ecj:JW2507;eco:b2523,6OAD;6OV8,,P37095.fasta,REP-6oad,True,0.9976580796252927,6oad,2.05,CL;CA;PGE;BCT;EDO;PEG;ZN,,,6oad-A_clean.pdb
AMPTASECG,(b0932 or b4260 or b2523 or b0237),cys__L_c;h2o_c;gly_c;cgly_c,Cysteine Metabolism,b0932,P04825,ecj:JW0915;eco:b0932,2DQ6;2DQM;2HPO;2HPT;2ZXG;3B2P;3B2X;3B34;3B37;3B3B;3KED;3PUU;3QJX;4Q4E;4Q4I;4XMT;4XMU;4XMV;4XMW;4XMX;4XMZ;4XN1;4XN2;4XN4;4XN5;4XN7;4XN8;4XN9;4XNA;4XNB;4XND;4XO3;4XO4;4XO5;5MFR;5MFS;5MFT;5YO1;5YQ1;5YQ2;5YQB;6G8B,PDP:3B34Aa,P04825.fasta,REP-3b34,True,0.9622222222222222,3b34,1.3,GOL;NA;MLI;ZN,PDP:3B34Aa,,3b34-A_clean.pdb
AMPTASECG,(b0932 or b4260 or b2523 or b0237),cys__L_c;h2o_c;gly_c;cgly_c,Cysteine Metabolism,b0237,P15288,ecj:JW0227;eco:b0237,,,P15288.fasta,REP-PEPD_ECOLI,False,1.0,,,,,3mru,PEPD_ECOLI_model1_clean-X_clean.pdb
AMPTASECG,(b0932 or b4260 or b2523 or b0237),cys__L_c;h2o_c;gly_c;cgly_c,Cysteine Metabolism,b4260,P68767,ecj:JW4217;eco:b4260,1GYT,PDP:3H8GAa;PDP:3H8GAb,P68767.fasta,REP-1gyt,True,1.0,1gyt,2.5,CO3;CL;ZN,PDP:3H8GAa;PDP:3H8GAb,,1gyt-A_clean.pdb
AMPTASEPG,(b2523 or b0932 or b4260 or b0237),h2o_c;pro__L_c;gly_c;progly_c,Arginine and Proline Metabolism,b4260,P68767,ecj:JW4217;eco:b4260,1GYT,PDP:3H8GAa;PDP:3H8GAb,P68767.fasta,REP-1gyt,True,1.0,1gyt,2.5,CO3;CL;ZN,PDP:3H8GAa;PDP:3H8GAb,,1gyt-A_clean.pdb
AMPTASEPG,(b2523 or b0932 or b4260 or b0237),h2o_c;pro__L_c;gly_c;progly_c,Arginine and Proline Metabolism,b0237,P15288,ecj:JW0227;eco:b0237,,,P15288.fasta,REP-PEPD_ECOLI,False,1.0,,,,,3mru,PEPD_ECOLI_model1_clean-X_clean.pdb
AMPTASEPG,(b2523 or b0932 or b4260 or b0237),h2o_c;pro__L_c;gly_c;progly_c,Arginine and Proline Metabolism,b0932,P04825,ecj:JW0915;eco:b0932,2DQ6;2DQM;2HPO;2HPT;2ZXG;3B2P;3B2X;3B34;3B37;3B3B;3KED;3PUU;3QJX;4Q4E;4Q4I;4XMT;4XMU;4XMV;4XMW;4XMX;4XMZ;4XN1;4XN2;4XN4;4XN5;4XN7;4XN8;4XN9;4XNA;4XNB;4XND;4XO3;4XO4;4XO5;5MFR;5MFS;5MFT;5YO1;5YQ1;5YQ2;5YQB;6G8B,PDP:3B34Aa,P04825.fasta,REP-3b34,True,0.9622222222222222,3b34,1.3,GOL;NA;MLI;ZN,PDP:3B34Aa,,3b34-A_clean.pdb
AMPTASEPG,(b2523 or b0932 or b4260 or b0237),h2o_c;pro__L_c;gly_c;progly_c,Arginine and Proline Metabolism,b2523,P37095,ecj:JW2507;eco:b2523,6OAD;6OV8,,P37095.fasta,REP-6oad,True,0.9976580796252927,6oad,2.05,CL;CA;PGE;BCT;EDO;PEG;ZN,,,6oad-A_clean.pdb
AMPtex,(b2215 or b0241 or b0929 or b1377),amp_e;amp_p,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
AMPtex,(b2215 or b0241 or b0929 or b1377),amp_e;amp_p,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
AMPtex,(b2215 or b0241 or b0929 or b1377),amp_e;amp_p,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
AMPtex,(b2215 or b0241 or b0929 or b1377),amp_e;amp_p,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
ANHGMtex,(b0241 or b0929 or b1377 or b2215),anhgm_e;anhgm_p,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
ANHGMtex,(b0241 or b0929 or b1377 or b2215),anhgm_e;anhgm_p,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
ANHGMtex,(b0241 or b0929 or b1377 or b2215),anhgm_e;anhgm_p,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
ANHGMtex,(b0241 or b0929 or b1377 or b2215),anhgm_e;anhgm_p,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
ANHMK,b1640,h2o_c;atp_c;h_c;adp_c;anhm_c;acmum6p_c,Murein Recycling,b1640,P77570,ecj:JW1632;eco:b1640,,,P77570.fasta,REP-ANMK_ECOLI,False,1.0,,,,,3cqy,ANMK_ECOLI_model1_clean-X_clean.pdb
ANPRT,b1263,anth_c;ppi_c;prpp_c;pran_c,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",b1263,P00904,ecj:JW1255;eco:b1263,,,P00904.fasta,REP-TRPG_ECOLI,False,1.0,,,,,1kgz,TRPG_ECOLI_model1_clean-X_clean.pdb
ANS,(b1263 and b1264),anth_c;glu__L_c;chor_c;h_c;pyr_c;gln__L_c,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",b1264,P00895,ecj:JW1256;eco:b1264,,,P00895.fasta,REP-TRPE_ECOLI,False,1.0,,,,,1i7q,TRPE_ECOLI_model1_clean-X_clean.pdb
ANS,(b1263 and b1264),anth_c;glu__L_c;chor_c;h_c;pyr_c;gln__L_c,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",b1263,P00904,ecj:JW1255;eco:b1263,,,P00904.fasta,REP-TRPG_ECOLI,False,1.0,,,,,1kgz,TRPG_ECOLI_model1_clean-X_clean.pdb
AOXSr2,b0776,ala__L_c;8aonn_c;co2_c;pimACP_c;ACP_c,Cofactor and Prosthetic Group Biosynthesis,b0776,P12998,ecj:JW0759;eco:b0776,1BS0;1DJ9;1DJE;2G6W,d1bs0a_,P12998.fasta,REP-1bs0,True,0.9973958333333334,1bs0,1.65,SO4,d1bs0a_,,1bs0-A_clean.pdb
AP4AH,b0049,ap4a_c;h2o_c;h_c;adp_c,Nucleotide Salvage Pathway,b0049,P05637,ecj:JW0048;eco:b0049,,,P05637.fasta,REP-2dfj,True,0.95,2dfj,2.7200000286102295,MN,,,2dfj-A_clean.pdb
AP4AS,b4129,ap4a_c;ppi_c;h_c;atp_c,Nucleotide Salvage Pathway,b4129,P0A8N5,ecj:JW4090;eco:b4129,1E1O;1E1T;1E22;1E24;1LYL;5YZX,PDP:3A74Aa;PDP:3A74Ab;PDP:3A74Ac,P0A8N5.fasta,REP-5yzx,True,0.9564356435643564,5yzx,3.2,CA;B4P,,,5yzx-A_clean.pdb
AP5AH,b0049,h2o_c;atp_c;ap5a_c;adp_c;h_c,Nucleotide Salvage Pathway,b0049,P05637,ecj:JW0048;eco:b0049,,,P05637.fasta,REP-2dfj,True,0.95,2dfj,2.7200000286102295,MN,,,2dfj-A_clean.pdb
APCS,b0121,15dap_c;ametam_c;5mta_c;h_c;na15dap_c,Arginine and Proline Metabolism,b0121,P09158,ecj:JW0117;eco:b0121,3O4F,PDP:3O4FAa;PDP:3O4FAb,P09158.fasta,REP-3o4f,True,0.9791666666666666,3o4f,2.9,SO4,PDP:3O4FAa;PDP:3O4FAb,,3o4f-A_clean.pdb
APG3PAT120,b3059,ddcap_c;glyc3p_c;pi_c;h_c;1ddecg3p_c,Glycerophospholipid Metabolism,b3059,P60782,ecj:JW3031;eco:b3059,,,P60782.fasta,REP-PLSY_ECOLI,False,1.0,,,,,2bku,PLSY_ECOLI_model1_clean-X_clean.pdb
APG3PAT140,b3059,1tdecg3p_c;glyc3p_c;pi_c;h_c;ttdcap_c,Glycerophospholipid Metabolism,b3059,P60782,ecj:JW3031;eco:b3059,,,P60782.fasta,REP-PLSY_ECOLI,False,1.0,,,,,2bku,PLSY_ECOLI_model1_clean-X_clean.pdb
APG3PAT141,b3059,ttdceap_c;glyc3p_c;pi_c;h_c;1tdec7eg3p_c,Glycerophospholipid Metabolism,b3059,P60782,ecj:JW3031;eco:b3059,,,P60782.fasta,REP-PLSY_ECOLI,False,1.0,,,,,2bku,PLSY_ECOLI_model1_clean-X_clean.pdb
APG3PAT160,b3059,1hdecg3p_c;glyc3p_c;pi_c;h_c;hdcap_c,Glycerophospholipid Metabolism,b3059,P60782,ecj:JW3031;eco:b3059,,,P60782.fasta,REP-PLSY_ECOLI,False,1.0,,,,,2bku,PLSY_ECOLI_model1_clean-X_clean.pdb
APG3PAT161,b3059,hdceap_c;glyc3p_c;pi_c;h_c;1hdec9eg3p_c,Glycerophospholipid Metabolism,b3059,P60782,ecj:JW3031;eco:b3059,,,P60782.fasta,REP-PLSY_ECOLI,False,1.0,,,,,2bku,PLSY_ECOLI_model1_clean-X_clean.pdb
APG3PAT180,b3059,glyc3p_c;pi_c;ocdcap_c;h_c;1odecg3p_c,Glycerophospholipid Metabolism,b3059,P60782,ecj:JW3031;eco:b3059,,,P60782.fasta,REP-PLSY_ECOLI,False,1.0,,,,,2bku,PLSY_ECOLI_model1_clean-X_clean.pdb
APG3PAT181,b3059,1odec11eg3p_c;glyc3p_c;pi_c;h_c;ocdceap_c,Glycerophospholipid Metabolism,b3059,P60782,ecj:JW3031;eco:b3059,,,P60782.fasta,REP-PLSY_ECOLI,False,1.0,,,,,2bku,PLSY_ECOLI_model1_clean-X_clean.pdb
APH120,b0968,ddca_c;ddcap_c;h2o_c;pi_c;h_c,Glycerophospholipid Metabolism,b0968,P0AB65,ecj:JW5131;eco:b0968,2GV1,PDP:3TRGAa,P0AB65.fasta,REP-2gv1,True,1.0,2gv1,,,PDP:3TRGAa,,2gv1-A_clean.pdb
APH140,b0968,h2o_c;pi_c;h_c;ttdcap_c;ttdca_c,Glycerophospholipid Metabolism,b0968,P0AB65,ecj:JW5131;eco:b0968,2GV1,PDP:3TRGAa,P0AB65.fasta,REP-2gv1,True,1.0,2gv1,,,PDP:3TRGAa,,2gv1-A_clean.pdb
APH141,b0968,ttdceap_c;h2o_c;pi_c;h_c;ttdcea_c,Glycerophospholipid Metabolism,b0968,P0AB65,ecj:JW5131;eco:b0968,2GV1,PDP:3TRGAa,P0AB65.fasta,REP-2gv1,True,1.0,2gv1,,,PDP:3TRGAa,,2gv1-A_clean.pdb
APH160,b0968,h2o_c;pi_c;hdca_c;h_c;hdcap_c,Glycerophospholipid Metabolism,b0968,P0AB65,ecj:JW5131;eco:b0968,2GV1,PDP:3TRGAa,P0AB65.fasta,REP-2gv1,True,1.0,2gv1,,,PDP:3TRGAa,,2gv1-A_clean.pdb
APH161,b0968,hdcea_c;hdceap_c;h2o_c;pi_c;h_c,Glycerophospholipid Metabolism,b0968,P0AB65,ecj:JW5131;eco:b0968,2GV1,PDP:3TRGAa,P0AB65.fasta,REP-2gv1,True,1.0,2gv1,,,PDP:3TRGAa,,2gv1-A_clean.pdb
