,fatcat_domain,u_uniprot_acc,pdb
3961,PDP:3B34Aa,P04825,4XMU
3962,PDP:3B34Aa,P04825,4XMV
3963,PDP:3B34Aa,P04825,4XMW
3964,PDP:3B34Aa,P04825,4XMX
3965,PDP:3B34Aa,P04825,4XMZ
3966,PDP:3B34Aa,P04825,4XN1
3967,PDP:3B34Aa,P04825,4XN2
3968,PDP:3B34Aa,P04825,4XN4
3969,PDP:3B34Aa,P04825,4XN5
3970,PDP:3B34Aa,P04825,4XN7
3971,PDP:3B34Aa,P04825,4XN8
3972,PDP:3B34Aa,P04825,4XN9
3973,PDP:3B34Aa,P04825,4XNA
3974,PDP:3B34Aa,P04825,4XNB
3975,PDP:3B34Aa,P04825,4XND
3976,PDP:3B34Aa,P04825,4XO3
3977,PDP:3B34Aa,P04825,4XO4
3978,PDP:3B34Aa,P04825,4XO5
3979,PDP:3H8GAa,P68767,1GYT
3980,PDP:3H8GAb,P68767,1GYT
4003,d1bs0a_,P12998,1BS0
4004,d1bs0a_,P12998,1DJ9
4005,d1bs0a_,P12998,1DJE
4006,d1bs0a_,P12998,2G6W
4007,PDP:3A74Aa,P0A8N5,1E1O
4008,PDP:3A74Ab,P0A8N5,1E1O
4009,PDP:3A74Ac,P0A8N5,1E1O
4010,PDP:3A74Aa,P0A8N5,1E1T
4011,PDP:3A74Ab,P0A8N5,1E1T
4012,PDP:3A74Ac,P0A8N5,1E1T
4013,PDP:3A74Aa,P0A8N5,1E22
4014,PDP:3A74Ab,P0A8N5,1E22
4015,PDP:3A74Ac,P0A8N5,1E22
4016,PDP:3A74Aa,P0A8N5,1E24
4017,PDP:3A74Ab,P0A8N5,1E24
4018,PDP:3A74Ac,P0A8N5,1E24
4019,PDP:3A74Aa,P0A8N5,1LYL
4020,PDP:3A74Ab,P0A8N5,1LYL
4021,PDP:3A74Ac,P0A8N5,1LYL
4028,PDP:3O4FAa,P09158,3O4F
4029,PDP:3O4FAb,P09158,3O4F
4044,PDP:3TRGAa,P0AB65,2GV1
4045,PDP:3ZPGAa,P25539,2OBC
4046,PDP:3ZPGAb,P25539,2OBC
4047,PDP:3ZPGAc,P25539,2OBC
4051,PDP:4R1QAa,P08202,2AJT
4052,PDP:4R1QAb,P08202,2AJT
4057,PDP:4R1QAa,P08202,2HXG
4058,PDP:4R1QAb,P08202,2HXG
4063,PDP:4R1QAa,P08202,4F2D
4064,PDP:4R1QAb,P08202,4F2D
4069,d1efdn_,P07822,1EFD
4070,d1efdn_,P07822,1ESZ
4071,d1efdn_,P07822,1K2V
4072,d1efdn_,P07822,1K7S
4073,d8abpa_,P02924,1ABE
4074,d8abpa_,P02924,1ABF
4075,d8abpa_,P02924,1APB
4076,d8abpa_,P02924,1BAP
4077,d8abpa_,P02924,2WRZ
4079,d8abpa_,P02924,5ABP
4080,d8abpa_,P02924,6ABP
4081,d8abpa_,P02924,7ABP
4082,d8abpa_,P02924,8ABP
4083,d8abpa_,P02924,9ABP
4084,PDP:5J4IAa,P60061,3OB6
4086,PDP:2VYCAa,P28629,2VYC
4087,PDP:2VYCAb,P28629,2VYC
4088,PDP:2VYCAc,P28629,2VYC
4089,PDP:2VYCAd,P28629,2VYC
4090,PDP:2VYCAe,P28629,2VYC
4091,PDP:2VYCAf,P28629,2VYC
4146,PDP:3N2OAa,P21170,3NZQ
4147,PDP:3N2OAb,P21170,3NZQ
4148,PDP:3N2OAc,P21170,3NZQ
4149,PDP:3N2OAd,P21170,3NZQ
4154,d1tjva_,P11447,1TJ7
4156,d1k92a1,P0A6E4,1K92
4157,d1k92a2,P0A6E4,1K92
4158,d1k92a1,P0A6E4,1K97
4159,d1k92a2,P0A6E4,1K97
4160,d1k92a1,P0A6E4,1KP2
4161,d1k92a2,P0A6E4,1KP2
4162,d1k92a1,P0A6E4,1KP3
4163,d1k92a2,P0A6E4,1KP3
4164,PDP:3UW3Aa,P0A9Q9,1BRM
4165,PDP:3UW3Ab,P0A9Q9,1BRM
4166,PDP:3UW3Ac,P0A9Q9,1BRM
4173,PDP:3UW3Aa,P0A9Q9,1GL3
4174,PDP:3UW3Ab,P0A9Q9,1GL3
4175,PDP:3UW3Ac,P0A9Q9,1GL3
4179,PDP:3UW3Aa,P0A9Q9,1T4B
4180,PDP:3UW3Ab,P0A9Q9,1T4B
4181,PDP:3UW3Ac,P0A9Q9,1T4B
4185,PDP:3UW3Aa,P0A9Q9,1T4D
4186,PDP:3UW3Ab,P0A9Q9,1T4D
4187,PDP:3UW3Ac,P0A9Q9,1T4D
4194,PDP:3BV6Aa,P39300,2WYL
4200,PDP:3BV6Aa,P39300,2WYM
4206,PDP:4RP9Aa,P39301,4RP8
4208,PDP:4RP9Aa,P39301,4RP9
4209,d1k2x.1,P37595,1JN9
4213,d1k2x.1,P37595,1K2X
4217,d1k2x.1,P37595,1T3M
4221,PDP:3C17Aa,P37595,2ZAK
4223,d1k2x.1,P37595,2ZAL
4227,PDP:3C17Aa,P37595,3C17
4229,PDP:3NTXAa,P0A962,2HIM
4230,PDP:3NTXAb,P0A962,2HIM
4237,PDP:3NTXAa,P0A962,2P2D
4238,PDP:3NTXAb,P0A962,2P2D
4245,PDP:3NTXAa,P0A962,2P2N
4246,PDP:3NTXAb,P0A962,2P2N
4253,d1o7ja_,P00805,1HO3
4255,d1o7ja_,P00805,1IHD
4257,d1o7ja_,P00805,1JAZ
4259,d1o7ja_,P00805,1JJA
4265,d1o7ja_,P00805,1NNS
4267,d1o7ja_,P00805,3ECA
4271,d1o7ja_,P00805,4ECA
4275,d1ct9a1,P22106,1CT9
4276,d1ct9a2,P22106,1CT9
4283,d12asa_,P00963,11AS
4285,d12asa_,P00963,12AS
4287,PDP:3TM7A_,P0A790,1AW8
4288,PDP:4AONBa,P0A790,1AW8
4291,d1ppya_,P0A790,1PPY
4293,d1ppya_,P0A790,1PQE
4294,d1pqha_,P0A790,1PQF
4296,d1pqha_,P0A790,1PQH
4298,d1pqha_,P0A790,1PT0
4300,d1pqha_,P0A790,1PT1
4302,d1pqha_,P0A790,1PYQ
4304,PDP:4AONA_,P0A790,1PYU
4305,PDP:4AONBa,P0A790,1PYU
4308,PDP:3TM7A_,P0A790,3TM7
4309,PDP:4AONBa,P0A790,3TM7
4312,PDP:4AONA_,P0A790,4AOK
4313,PDP:4AONBa,P0A790,4AOK
4316,PDP:4AONA_,P0A790,4AON
4317,PDP:4AONBa,P0A790,4AON
4320,d1pqha_,P0A790,4AZD
4322,PDP:4AONA_,P0A790,4CRY
4323,PDP:4AONBa,P0A790,4CRY
4324,d1pqha_,P0A790,4CRZ
4325,d1pqha_,P0A790,4CS0
4326,PDP:4AONA_,P0A790,4D7Z
4327,PDP:4AONBa,P0A790,4D7Z
4328,PDP:4FYYBa,P0A7F3,1ACM
4329,PDP:4FYYBb,P0A7F3,1ACM
4332,PDP:4FYYBa,P0A7F3,1AT1
4333,PDP:4FYYBb,P0A7F3,1AT1
4336,PDP:4FYYBa,P0A7F3,1D09
4337,PDP:4FYYBb,P0A7F3,1D09
4340,PDP:4FYYBa,P0A7F3,1EZZ
4341,PDP:4FYYBb,P0A7F3,1EZZ
4344,PDP:4FYYBa,P0A7F3,1F1B
4345,PDP:4FYYBb,P0A7F3,1F1B
4348,PDP:4FYYBa,P0A7F3,1I5O
4349,PDP:4FYYBb,P0A7F3,1I5O
4352,PDP:4FYYBa,P0A7F3,1NBE
4353,PDP:4FYYBb,P0A7F3,1NBE
4356,PDP:4FYYBa,P0A7F3,1Q95
4357,PDP:4FYYBb,P0A7F3,1Q95
4368,PDP:4FYYBa,P0A7F3,1R0B
4369,PDP:4FYYBb,P0A7F3,1R0B
4380,PDP:4FYYBa,P0A7F3,1R0C
4381,PDP:4FYYBb,P0A7F3,1R0C
4384,PDP:4FYYBa,P0A7F3,1RAA
4385,PDP:4FYYBb,P0A7F3,1RAA
4388,PDP:4FYYBa,P0A7F3,1RAB
4389,PDP:4FYYBb,P0A7F3,1RAB
4392,PDP:4FYYBa,P0A7F3,1RAC
4393,PDP:4FYYBb,P0A7F3,1RAC
4396,PDP:4FYYBa,P0A7F3,1RAD
4397,PDP:4FYYBb,P0A7F3,1RAD
4400,PDP:4FYYBa,P0A7F3,1RAE
4401,PDP:4FYYBb,P0A7F3,1RAE
4404,PDP:4FYYBa,P0A7F3,1RAF
4405,PDP:4FYYBb,P0A7F3,1RAF
4408,PDP:4FYYBa,P0A7F3,1RAG
4409,PDP:4FYYBb,P0A7F3,1RAG
4412,PDP:4FYYBa,P0A7F3,1RAH
4413,PDP:4FYYBb,P0A7F3,1RAH
4416,PDP:4FYYBa,P0A7F3,1RAI
4417,PDP:4FYYBb,P0A7F3,1RAI
4420,PDP:4FYYBa,P0A7F3,1SKU
4421,PDP:4FYYBb,P0A7F3,1SKU
4424,PDP:4FYYBa,P0A7F3,1TTH
4425,PDP:4FYYBb,P0A7F3,1TTH
4428,PDP:4FYYBa,P0A7F3,1TU0
4429,PDP:4FYYBb,P0A7F3,1TU0
4432,PDP:4FYYBa,P0A7F3,1TUG
4433,PDP:4FYYBb,P0A7F3,1TUG
4436,PDP:4FYYBa,P0A7F3,1XJW
4437,PDP:4FYYBb,P0A7F3,1XJW
4440,PDP:4FYYBa,P0A7F3,1ZA1
4441,PDP:4FYYBb,P0A7F3,1ZA1
4444,PDP:4FYYBa,P0A7F3,1ZA2
4445,PDP:4FYYBb,P0A7F3,1ZA2
4448,PDP:4FYYBa,P0A7F3,2A0F
4449,PDP:4FYYBb,P0A7F3,2A0F
4452,PDP:4FYYBa,P0A7F3,2AIR
4453,PDP:4FYYBb,P0A7F3,2AIR
4456,PDP:4FYYBa,P0A7F3,2AT1
4457,PDP:4FYYBb,P0A7F3,2AT1
4460,PDP:4FYYBa,P0A7F3,2ATC
4461,PDP:4FYYBb,P0A7F3,2ATC
4462,PDP:4FYYBa,P0A7F3,2FZC
4463,PDP:4FYYBb,P0A7F3,2FZC
4466,PDP:4FYYBa,P0A7F3,2FZG
4467,PDP:4FYYBb,P0A7F3,2FZG
4470,PDP:4FYYBa,P0A7F3,2FZK
4471,PDP:4FYYBb,P0A7F3,2FZK
4474,PDP:4FYYBa,P0A7F3,2H3E
4475,PDP:4FYYBb,P0A7F3,2H3E
4478,PDP:4FYYBa,P0A7F3,2HSE
4479,PDP:4FYYBb,P0A7F3,2HSE
4482,PDP:4FYYBa,P0A7F3,2IPO
4483,PDP:4FYYBb,P0A7F3,2IPO
4486,PDP:4FYYBa,P0A7F3,2QG9
4487,PDP:4FYYBb,P0A7F3,2QG9
4490,PDP:4FYYBa,P0A7F3,2QGF
4491,PDP:4FYYBb,P0A7F3,2QGF
4494,PDP:4FYYBa,P0A7F3,3AT1
4495,PDP:4FYYBb,P0A7F3,3AT1
4498,PDP:4FYYBa,P0A7F3,3D7S
4499,PDP:4FYYBb,P0A7F3,3D7S
4502,PDP:4FYYBa,P0A7F3,3MPU
4503,PDP:4FYYBb,P0A7F3,3MPU
4508,PDP:4FYYBa,P0A7F3,4AT1
4509,PDP:4FYYBb,P0A7F3,4AT1
4512,PDP:4FYYBa,P0A7F3,4E2F
4513,PDP:4FYYBb,P0A7F3,4E2F
4524,PDP:4FYYBa,P0A7F3,4F04
4525,PDP:4FYYBb,P0A7F3,4F04
4528,PDP:4FYYBa,P0A7F3,4FYV
4529,PDP:4FYYBb,P0A7F3,4FYV
4532,PDP:4FYYBa,P0A7F3,4FYW
4533,PDP:4FYYBb,P0A7F3,4FYW
4536,PDP:4FYYBa,P0A7F3,4FYX
4537,PDP:4FYYBb,P0A7F3,4FYX
4540,PDP:4FYYBa,P0A7F3,4FYY
4541,PDP:4FYYBb,P0A7F3,4FYY
4544,PDP:4FYYBa,P0A7F3,5AT1
4545,PDP:4FYYBb,P0A7F3,5AT1
4548,PDP:4FYYBa,P0A7F3,6AT1
4549,PDP:4FYYBb,P0A7F3,6AT1
4552,PDP:4FYYBa,P0A7F3,7AT1
4553,PDP:4FYYBb,P0A7F3,7AT1
4556,PDP:4FYYBa,P0A7F3,8AT1
4557,PDP:4FYYBb,P0A7F3,8AT1
4560,PDP:4FYYBa,P0A7F3,8ATC
4561,PDP:4FYYBb,P0A7F3,8ATC
4564,PDP:4FYYBa,P0A7F3,9ATC
4565,PDP:4FYYBb,P0A7F3,9ATC
4566,d1ml4a1,P0A786,1ACM
4567,d1ml4a2,P0A786,1ACM
4570,d1ml4a1,P0A786,1AT1
4571,d1ml4a2,P0A786,1AT1
4574,d1ml4a1,P0A786,1D09
4575,d1ml4a2,P0A786,1D09
4578,d1ml4a1,P0A786,1EKX
4579,d1ml4a2,P0A786,1EKX
4584,d1ml4a1,P0A786,1EZZ
4585,d1ml4a2,P0A786,1EZZ
4588,d1ml4a1,P0A786,1F1B
4589,d1ml4a2,P0A786,1F1B
4592,d1ml4a1,P0A786,1GQ3
4593,d1ml4a2,P0A786,1GQ3
4598,d1ml4a1,P0A786,1I5O
4599,d1ml4a2,P0A786,1I5O
4602,d1ml4a1,P0A786,1NBE
4603,d1ml4a2,P0A786,1NBE
4606,d1ml4a1,P0A786,1Q95
4607,d1ml4a2,P0A786,1Q95
4618,d1ml4a1,P0A786,1R0B
4619,d1ml4a2,P0A786,1R0B
4630,d1ml4a1,P0A786,1R0C
4631,d1ml4a2,P0A786,1R0C
4634,d1ml4a1,P0A786,1RAA
4635,d1ml4a2,P0A786,1RAA
4638,d1ml4a1,P0A786,1RAB
4639,d1ml4a2,P0A786,1RAB
4642,d1ml4a1,P0A786,1RAC
4643,d1ml4a2,P0A786,1RAC
4646,d1ml4a1,P0A786,1RAD
4647,d1ml4a2,P0A786,1RAD
4650,d1ml4a1,P0A786,1RAE
4651,d1ml4a2,P0A786,1RAE
4654,d1ml4a1,P0A786,1RAF
4655,d1ml4a2,P0A786,1RAF
4658,d1ml4a1,P0A786,1RAG
4659,d1ml4a2,P0A786,1RAG
4662,d1ml4a1,P0A786,1RAH
4663,d1ml4a2,P0A786,1RAH
4666,d1ml4a1,P0A786,1RAI
4667,d1ml4a2,P0A786,1RAI
4670,d1ml4a1,P0A786,1SKU
4671,d1ml4a2,P0A786,1SKU
4674,d1ml4a1,P0A786,1TTH
4675,d1ml4a2,P0A786,1TTH
4678,d1ml4a1,P0A786,1TU0
4679,d1ml4a2,P0A786,1TU0
4682,d1ml4a1,P0A786,1TUG
4683,d1ml4a2,P0A786,1TUG
4686,d1ml4a1,P0A786,1XJW
4687,d1ml4a2,P0A786,1XJW
4690,d1ml4a1,P0A786,1ZA1
4691,d1ml4a2,P0A786,1ZA1
4694,d1ml4a1,P0A786,1ZA2
4695,d1ml4a2,P0A786,1ZA2
4698,d1ml4a1,P0A786,2A0F
4699,d1ml4a2,P0A786,2A0F
4702,d1ml4a1,P0A786,2AIR
4703,d1ml4a2,P0A786,2AIR
4706,d1ml4a1,P0A786,2AT1
4707,d1ml4a2,P0A786,2AT1
4710,d1ml4a1,P0A786,2ATC
4711,d1ml4a2,P0A786,2ATC
4712,d1ml4a1,P0A786,2FZC
4713,d1ml4a2,P0A786,2FZC
4716,d1ml4a1,P0A786,2FZG
4717,d1ml4a2,P0A786,2FZG
4720,d1ml4a1,P0A786,2FZK
4721,d1ml4a2,P0A786,2FZK
4724,d1ml4a1,P0A786,2H3E
4725,d1ml4a2,P0A786,2H3E
4728,d1ml4a1,P0A786,2HSE
4729,d1ml4a2,P0A786,2HSE
4732,d1ml4a1,P0A786,2IPO
4733,d1ml4a2,P0A786,2IPO
4736,d1ml4a1,P0A786,2QG9
4737,d1ml4a2,P0A786,2QG9
4740,d1ml4a1,P0A786,2QGF
4741,d1ml4a2,P0A786,2QGF
4744,d1ml4a1,P0A786,3AT1
4745,d1ml4a2,P0A786,3AT1
4748,d1ml4a1,P0A786,3CSU
4749,d1ml4a2,P0A786,3CSU
4754,d1ml4a1,P0A786,3D7S
4755,d1ml4a2,P0A786,3D7S
4758,d1ml4a1,P0A786,3MPU
4759,d1ml4a2,P0A786,3MPU
4764,d1ml4a1,P0A786,3NPM
4765,d1ml4a2,P0A786,3NPM
4766,d1ml4a1,P0A786,4AT1
4767,d1ml4a2,P0A786,4AT1
4770,d1ml4a1,P0A786,4E2F
4771,d1ml4a2,P0A786,4E2F
4782,d1ml4a1,P0A786,4F04
4783,d1ml4a2,P0A786,4F04
4786,d1ml4a1,P0A786,4FYV
4787,d1ml4a2,P0A786,4FYV
4790,d1ml4a1,P0A786,4FYW
4791,d1ml4a2,P0A786,4FYW
4794,d1ml4a1,P0A786,4FYX
4795,d1ml4a2,P0A786,4FYX
4798,d1ml4a1,P0A786,4FYY
4799,d1ml4a2,P0A786,4FYY
4802,d1ml4a1,P0A786,5AT1
4803,d1ml4a2,P0A786,5AT1
4806,d1ml4a1,P0A786,6AT1
4807,d1ml4a2,P0A786,6AT1
4810,d1ml4a1,P0A786,7AT1
4811,d1ml4a2,P0A786,7AT1
4814,d1ml4a1,P0A786,8AT1
4815,d1ml4a2,P0A786,8AT1
4818,d1ml4a1,P0A786,8ATC
4819,d1ml4a2,P0A786,8ATC
4822,d1ml4a1,P0A786,9ATC
4823,d1ml4a2,P0A786,9ATC
4824,d2j0wa1,P08660,2J0W
4825,d2j0wa2,P08660,2J0W
4826,d2j0wa3,P08660,2J0W
4827,d2j0wa1,P08660,2J0X
4828,d2j0wa2,P08660,2J0X
4829,d2j0wa3,P08660,2J0X
4833,PDP:5KXJAa,P10902,1CHU
4834,PDP:5KXJAb,P10902,1CHU
4835,PDP:5KXJAa,P10902,1KNP
4836,PDP:5KXJAb,P10902,1KNP
4837,PDP:5KXJAa,P10902,1KNR
4838,PDP:5KXJAb,P10902,1KNR
4839,PDP:4ADMAa,P0AC38,1JSW
4840,PDP:4ADMAb,P0AC38,1JSW
4841,PDP:4ADMAc,P0AC38,1JSW
4851,d2q7wa1,P00509,1AAM
4852,d2q7wa1,P00509,1AAW
4853,d2q7wa1,P00509,1AHE
4855,d2q7wa1,P00509,1AHF
4857,d2q7wa1,P00509,1AHG
4859,d2q7wa1,P00509,1AHX
4861,d2q7wa1,P00509,1AHY
4863,d2q7wa1,P00509,1AIA
4865,d2q7wa1,P00509,1AIB
4867,d2q7wa1,P00509,1AIC
4869,d2q7wa1,P00509,1AMQ
4870,d2q7wa1,P00509,1AMR
4871,d2q7wa1,P00509,1AMS
4872,d2q7wa1,P00509,1ARG
4874,d2q7wa1,P00509,1ARH
4876,d2q7wa1,P00509,1ARI
4878,d2q7wa1,P00509,1ARS
4879,d2q7wa1,P00509,1ART
4880,d2q7wa1,P00509,1ASA
4881,d2q7wa1,P00509,1ASB
4882,d2q7wa1,P00509,1ASC
4883,d2q7wa1,P00509,1ASD
4884,d2q7wa1,P00509,1ASE
4885,d2q7wa1,P00509,1ASF
4886,d2q7wa1,P00509,1ASG
4887,d2q7wa1,P00509,1ASL
4889,d2q7wa1,P00509,1ASM
4891,d2q7wa1,P00509,1ASN
4893,d2q7wa1,P00509,1B4X
4894,d2q7wa1,P00509,1BQA
4896,d2q7wa1,P00509,1BQD
4898,d2q7wa1,P00509,1C9C
4899,d2q7wa1,P00509,1CQ6
4900,d2q7wa1,P00509,1CQ7
4901,d2q7wa1,P00509,1CQ8
4902,d2q7wa1,P00509,1CZC
4903,d2q7wa1,P00509,1CZE
4904,d2q7wa1,P00509,1G4V
4905,d2q7wa1,P00509,1G4X
4906,d2q7wa1,P00509,1G7W
4907,d2q7wa1,P00509,1G7X
4908,d2q7wa1,P00509,1IX6
4909,d2q7wa1,P00509,1IX7
4910,d2q7wa1,P00509,1IX8
4911,d2q7wa1,P00509,1QIR
4912,d2q7wa1,P00509,1QIS
4913,d2q7wa1,P00509,1QIT
4914,d2q7wa1,P00509,1SPA
4915,d2q7wa1,P00509,1TOE
4916,d2q7wa1,P00509,1TOG
4918,d2q7wa1,P00509,1TOI
4919,d2q7wa1,P00509,1TOJ
4920,d2q7wa1,P00509,1TOK
4922,d2q7wa1,P00509,1X28
4924,d2q7wa1,P00509,1X29
4926,d2q7wa1,P00509,1X2A
4928,d2q7wa1,P00509,1YOO
4929,d2q7wa1,P00509,2AAT
4930,d2q7wa1,P00509,2D5Y
4931,d2q7wa1,P00509,2D61
4932,d2q7wa1,P00509,2D63
4933,d2q7wa1,P00509,2D7Y
4934,d2q7wa1,P00509,2Q7W
4935,d2q7wa1,P00509,2QA3
4936,d2q7wa1,P00509,2QB2
4937,d2q7wa1,P00509,2QB3
4938,d2q7wa1,P00509,2QBT
4939,d2q7wa1,P00509,3AAT
4940,d2q7wa1,P00509,3QN6
4941,d2q7wa1,P00509,3QPG
4942,d2q7wa1,P00509,3ZZJ
4943,d2q7wa1,P00509,3ZZK
4944,d2q7wa1,P00509,4A00
4945,d2q7wa1,P00509,4DBC
4946,d2q7wa1,P00509,4F5F
4948,d2q7wa1,P00509,4F5G
4950,d2q7wa1,P00509,4F5H
4952,d2q7wa1,P00509,4F5I
4954,d2q7wa1,P00509,4F5J
4956,d2q7wa1,P00509,4F5K
4958,d2q7wa1,P00509,4F5L
4960,d2q7wa1,P00509,4F5M
4962,d2q7wa1,P00509,5EAA
4963,PDP:3IR4Aa,P0AC59,1G7O
4964,PDP:3IR4Ab,P0AC59,1G7O
4965,PDP:3IR4Ac,P0AC59,1G7O
4966,PDP:3IR4Aa,P0AC59,4KSM
4967,PDP:3IR4Ab,P0AC59,4KSM
4968,PDP:3IR4Ac,P0AC59,4KSM
4969,PDP:3IR4Aa,P0AC59,4KX4
4970,PDP:3IR4Ab,P0AC59,4KX4
4971,PDP:3IR4Ac,P0AC59,4KX4
4972,PDP:4YB6Aa,P60757,1H3D
4973,PDP:4YB6Ab,P60757,1H3D
4974,PDP:4YB6Ac,P60757,1H3D
4975,PDP:4YB6Aa,P60757,1Q1K
4976,PDP:4YB6Ab,P60757,1Q1K
4977,PDP:4YB6Ac,P60757,1Q1K
4978,d1fs0e1,P0A6E6,1AQT
4979,d1fs0e2,P0A6E6,1AQT
4980,d1fs0e1,P0A6E6,1BSH
4981,d1fs0e2,P0A6E6,1BSH
4982,d1fs0e1,P0A6E6,1BSN
4983,d1fs0e2,P0A6E6,1BSN
4984,d1fs0e1,P0A6E6,1FS0
4985,d1fs0e2,P0A6E6,1FS0
4986,d1fs0e1,P0A6E6,1QO1
4987,d1fs0e2,P0A6E6,1QO1
4988,d1fs0e1,P0A6E6,3OAA
4989,d1fs0e2,P0A6E6,3OAA
4996,d2jdid1,P0ABB4,3OAA
4997,d2jdid2,P0ABB4,3OAA
4998,d2jdid3,P0ABB4,3OAA
5032,d1fs0g_,P0ABA6,1FS0
5033,d2jdig1,P0ABA6,3OAA
5037,d2jdia1,P0ABB0,3OAA
5038,d2jdia2,P0ABB0,3OAA
5039,d2jdia3,P0ABB0,3OAA
5073,d2a7ub1,P0ABA4,1ABV
5074,d1b9ua_,P0ABA0,1B9U
5075,d1l2pa_,P0ABA0,1L2P
5076,PDP:2KHKA_,P0ABA0,2KHK
5077,PDP:4UTQZ_,P68699,1A91
5078,PDP:4UTQZ_,P68699,1ATY
5079,PDP:4UTQZ_,P68699,1C0V
5080,PDP:4UTQZ_,P68699,1C17
5092,PDP:4UTQZ_,P68699,1C99
5093,PDP:4UTQZ_,P68699,1IJP
5094,PDP:4UTQZ_,P68699,1L6T
5095,PDP:4UTQZ_,P68699,1QO1
5105,PDP:4UTQZ_,P68699,4UTQ
5106,d1c17m_,P0AB98,1C17
5107,d2nqra1,P12281,1FC5
5108,d2nqra2,P12281,1FC5
5109,d2nqra3,P12281,1FC5
5113,d2nqra1,P12281,1G8L
5114,d2nqra2,P12281,1G8L
5115,d2nqra3,P12281,1G8L
5119,d2nqra1,P12281,1G8R
5120,d2nqra2,P12281,1G8R
5121,d2nqra3,P12281,1G8R
5125,d2nqra1,P12281,2NQK
5126,d2nqra2,P12281,2NQK
5127,d2nqra3,P12281,2NQK
5131,d2nqra1,P12281,2NQM
5132,d2nqra2,P12281,2NQM
5133,d2nqra3,P12281,2NQM
5137,d2nqra1,P12281,2NQN
5138,d2nqra2,P12281,2NQN
5139,d2nqra3,P12281,2NQN
5143,d2nqra1,P12281,2NQQ
5144,d2nqra2,P12281,2NQQ
5145,d2nqra3,P12281,2NQQ
5155,d2nqra1,P12281,2NQR
5156,d2nqra2,P12281,2NQR
5157,d2nqra3,P12281,2NQR
5161,d2nqra1,P12281,2NQS
5162,d2nqra2,P12281,2NQS
5163,d2nqra3,P12281,2NQS
5167,d2nqra1,P12281,2NQU
5168,d2nqra2,P12281,2NQU
5169,d2nqra3,P12281,2NQU
5173,d2nqra1,P12281,2NQV
5174,d2nqra2,P12281,2NQV
5175,d2nqra3,P12281,2NQV
5179,d2nqra1,P12281,2NRO
5180,d2nqra2,P12281,2NRO
5181,d2nqra3,P12281,2NRO
5185,d2nqra1,P12281,2NRP
5186,d2nqra2,P12281,2NRP
5187,d2nqra3,P12281,2NRP
5191,d2nqra1,P12281,2NRS
5192,d2nqra2,P12281,2NRS
5193,d2nqra3,P12281,2NRS
5197,d1np6a_,P32125,1NP6
5199,d1np6a_,P32125,1P9N
5201,d1e5ka_,P32173,1E5K
5202,d1e5ka_,P32173,1FR9
5203,d1e5ka_,P32173,1FRW
5204,d1e5ka_,P32173,1H4C
5205,d1e5ka_,P32173,1H4D
5206,d1e5ka_,P32173,1H4E
5207,d1e5ka_,P32173,1HJJ
5208,d1e5ka_,P32173,1HJL
5209,d1r30a_,P12996,1R30
5211,PDP:2X26Aa,P75853,2X26
5212,PDP:2X26Ab,P75853,2X26
5215,PDP:4AUMAa,P21179,1CF9
5216,PDP:4AUMAb,P21179,1CF9
5223,PDP:4AUMAa,P21179,1GG9
5224,PDP:4AUMAb,P21179,1GG9
5231,PDP:4AUMAa,P21179,1GGE
5232,PDP:4AUMAb,P21179,1GGE
5239,PDP:4AUMAa,P21179,1GGF
5240,PDP:4AUMAb,P21179,1GGF
5247,PDP:4AUMAa,P21179,1GGH
5248,PDP:4AUMAb,P21179,1GGH
5255,PDP:4AUMAa,P21179,1GGJ
5256,PDP:4AUMAb,P21179,1GGJ
5263,PDP:4AUMAa,P21179,1GGK
5264,PDP:4AUMAb,P21179,1GGK
5271,PDP:4AUMAa,P21179,1IPH
5272,PDP:4AUMAb,P21179,1IPH
5279,PDP:4AUMAa,P21179,1P7Y
5280,PDP:4AUMAb,P21179,1P7Y
5287,PDP:4AUMAa,P21179,1P7Z
5288,PDP:4AUMAb,P21179,1P7Z
5295,PDP:4AUMAa,P21179,1P80
5296,PDP:4AUMAb,P21179,1P80
5303,PDP:4AUMAa,P21179,1P81
5304,PDP:4AUMAb,P21179,1P81
5311,PDP:4AUMAa,P21179,1QF7
5312,PDP:4AUMAb,P21179,1QF7
5319,PDP:4AUMAa,P21179,1QWS
5320,PDP:4AUMAb,P21179,1QWS
5327,PDP:1YE9Aa,P21179,1YE9
5328,PDP:1YE9Ab,P21179,1YE9
5335,PDP:1YE9Ea,P21179,1YE9
5336,PDP:1YE9Eb,P21179,1YE9
5337,PDP:1YE9Ec,P21179,1YE9
5367,PDP:4AUMAa,P21179,3P9P
5368,PDP:4AUMAb,P21179,3P9P
5375,PDP:4AUMAa,P21179,3P9Q
5376,PDP:4AUMAb,P21179,3P9Q
5383,PDP:4AUMAa,P21179,3P9R
5384,PDP:4AUMAb,P21179,3P9R
5391,PDP:4AUMAa,P21179,3P9S
5392,PDP:4AUMAb,P21179,3P9S
5399,PDP:4AUMAa,P21179,3PQ2
5400,PDP:4AUMAb,P21179,3PQ2
5407,PDP:4AUMAa,P21179,3PQ3
5408,PDP:4AUMAb,P21179,3PQ3
5415,PDP:4AUMAa,P21179,3PQ4
5416,PDP:4AUMAb,P21179,3PQ4
5423,PDP:4AUMAa,P21179,3PQ5
